id;created;category_id;pattern_id;instanz_nr;atricle_nr_red;pattern_ref;order_nr;color_garn_vendor_ref;length;foto_mi;foto_ma;foto_red;owner;storage_web;storage;price_red;selled_dt;present_dt;remarks;remarks_article
348;2014-01-02;1;85;1;85.1;;;;14.5;;;1;1;;;26.00;2014-11-15;;;
349;2014-01-02;1;86;1;86.1;;;;15.5;;;1;1;;1;46.00;;;;
350;2014-01-02;1;87;1;87.1;;;;16.0;;;1;1;;1;28.00;;;;
351;2014-01-02;1;88;1;88.1;;;;15.0;;;1;1;;1;30.00;;;;
352;2014-02-14;1;89;1;89.1;3612;;c113,c212,c205,c208;13.0;;151018_1_ma0/3289;1;1;1;1;17.50;;;;
353;2015-07-04;1;89;1;89.2.1;3612;o17;;14.0;;;;1;;;19.00;2015-07-01;;;
354;2015-07-04;1;89;1;89.2.2;3612;o18;;17.0;;;;1;;;23.50;2015-07-01;;;
355;2014-06-25;1;89;1;89.3;3612;;c124,c164,c261,c247;13.0;;151018_1_ma0/3316;1;1;1;1;17.50;;;;
356;2014-02-14;1;90;1;90.1;63493;;c113,c110;12.0;;151121_3_ma0/3470;1;1;1;1;22.00;;;;
357;2014-02-14;1;91;1;91.1;28;;;13.0;;;1;1;;;13.00;2015-04-18;;;
358;2014-02-14;1;92;1;92.1;76447;;;12.0;;;1;1;;1;16.00;;;;
359;2014-04-18;1;92;1;92.2;76447;;c110,c115,c244,c241;13.0;;151121_3_ma0/3474;1;2;1;1;17.00;;;;
360;2014-02-14;1;93;1;93.1;;;;15.0;;;1;1;;1;26.00;;;;
361;2014-02-14;1;94;1;94.1;;;;12.0;;;1;1;;1;12.00;;;;
362;2014-02-14;1;95;1;95.1;;;;13.0;;;1;1;;1;9.00;;;;
363;2014-02-14;1;96;1;96.1;;;;15.5;;;1;1;;1;12.00;;;;
364;2014-04-18;1;97;1;97.1;76740;;;14.5;;;1;2;;;12.00;2014-11-15;;;
365;2014-04-18;1;97;1;97.2;76740;;c110,c105,c390;14.0;;151015_4_ma0/3226;1;2;1;1;13.00;;;;
366;2014-02-14;1;98;1;98.1;;;;12.0;;;1;1;;1;14.00;;;;
367;2014-02-14;1;99;1;99.1;1504;;sx-wolke,c282;13.5;;151121_2_ma0/3410;1;1;1;1;12.00;;;;
